Classifier;Rounds;Precision;Recall;F-score;Support;Accuracy;Next version;
d_tree;31;0.970873786407767;1.0;0.9852216748768473;200.0;0.9748953974895398;release-2.6.1;
d_tree;32;0.9707317073170731;1.0;0.9851485148514851;199.0;0.9747899159663865;release-1.1.0-rc5;
d_tree;33;0.9705882352941176;1.0;0.9850746268656716;198.0;0.9746835443037974;release-0.20.205.0;
d_tree;34;0.9704433497536946;1.0;0.985;197.0;0.9745762711864406;release-2.6.0;
d_tree;35;0.9702970297029703;1.0;0.9849246231155778;196.0;0.9744680851063829;release-0.23.11;
d_tree;36;0.9701492537313433;1.0;0.9848484848484849;195.0;0.9743589743589743;release-2.6.5-RC0;
d_tree;37;0.97;1.0;0.9847715736040609;194.0;0.9742489270386266;release-0.23.0-rc0;
d_tree;38;0.9698492462311558;1.0;0.9846938775510203;193.0;0.9741379310344828;release-2.0.3-alpha;
d_tree;39;0.9696969696969697;1.0;0.9846153846153847;192.0;0.974025974025974;release-1.0.3-rc1;
d_tree;40;0.9695431472081218;1.0;0.9845360824742267;191.0;0.9739130434782609;release-0.17.0;
d_tree;41;0.9693877551020408;1.0;0.9844559585492229;190.0;0.9737991266375546;YARN-5355_branch2-2017-10-14;
d_tree;42;0.9693877551020408;1.0;0.9844559585492229;190.0;0.9736842105263158;release-0.6.2;
d_tree;43;0.9692307692307692;1.0;0.9843749999999999;189.0;0.973568281938326;release-0.20.205.0-rc1;
d_tree;44;0.9690721649484536;1.0;0.9842931937172774;188.0;0.9734513274336283;release-1.0.2-rc1;
d_tree;45;0.9689119170984456;1.0;0.9842105263157895;187.0;0.9733333333333334;release-0.20.204.0-rc0;
d_tree;46;0.96875;1.0;0.9841269841269841;186.0;0.9732142857142857;release-0.20.203.0-rc0;
d_tree;47;0.9685863874345549;1.0;0.9840425531914894;185.0;0.9730941704035875;release-2.9.0-RC1;
d_tree;48;0.9685863874345549;1.0;0.9840425531914894;185.0;0.972972972972973;release-2.0.2-alpha-rc2;
d_tree;49;0.968421052631579;1.0;0.983957219251337;184.0;0.9728506787330317;release-0.23.6;
d_tree;50;0.9682539682539683;1.0;0.9838709677419354;183.0;0.9727272727272728;release-0.23.0;
d_tree;51;0.9680851063829787;1.0;0.9837837837837838;182.0;0.9726027397260274;release-0.21.0-rc0;
d_tree;52;0.9679144385026738;1.0;0.9836956521739131;181.0;0.9724770642201835;YARN-5355-2016-11-06;
d_tree;53;0.9679144385026738;1.0;0.9836956521739131;181.0;0.9723502304147466;release-0.23.4-rc2;
